#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
     22        22       5       1187.10        131.66        518.73      0.05541     -0.84338     1.0000     0.7600     0.7600
     23        23       3       1733.93        145.18        153.76      0.44163      1.85389     1.0000     0.2400     0.2400
     23        23       4       1789.31        145.18        133.60      0.43372      2.31954     1.0000     0.0600     0.0600
     23        23       5       1740.96        145.18        226.09      1.08241      1.09866     1.0000     0.2400     0.2400
     24        24       3        987.95         85.27        492.82      0.45789      0.24562     0.9400     0.6000     0.6000
     24        24       4        864.62         85.27        823.56      0.48521     -1.44733     0.8600     0.8400     0.8400
     24        24       5        929.78         85.27        863.22      0.13125     -1.85883     1.0000     0.9200     0.9200
     25        25       3        866.91        167.40        395.62      0.46650      1.35532     0.7800     0.2600     0.2600
     25        25       4        787.85        167.40        326.07      0.51304      2.04975     0.9200     0.2000     0.2000
     25        25       5        742.92        167.40        450.13      1.08654      1.33073     0.8400     0.1800     0.1800
     26        26       3       2265.00          7.00        268.57      1.07363     -1.27303     1.0000     0.7800     0.7800
     26        26       4       2215.63          7.00        222.41      1.52263     -0.43531     1.0000     0.7000     0.7000
     26        26       5       2135.60          7.00        206.17      1.20049      0.72791     1.0000     0.4200     0.4200
     27        27       3       1102.35        115.72        555.41      1.55031     -1.03140     0.4600     0.6800     0.4600
     27        27       4       1038.57        115.72        542.62      1.16470     -0.12771     0.7600     0.6600     0.6600
     27        27       5        929.78        115.72        863.22      0.13125     -1.85883     1.0000     0.9000     0.9000
     28        28       3        382.14         57.25        637.51      0.11346     -0.03641     0.9400     0.7600     0.7600
     28        28       4        297.01         57.25        716.24      0.50126     -0.47524     0.8400     0.6000     0.6000
     28        28       5        237.61         57.25        627.11      0.44543      0.26497     0.8600     0.5800     0.5800
     29        29       3       4104.79        450.92        149.25      0.16135      0.68043     1.0000     0.4600     0.4600
     29        29       4       4002.78        450.92        298.63      1.05770     -2.71060     1.0000     0.9600     0.9600
     29        29       5       4069.40        450.92        296.54      1.94393     -2.87796     1.0000     0.9600     0.9600
     30        30       3       1084.34         79.36        439.76      0.31575      0.63119     0.9400     0.4400     0.4400
     30        30       4       1200.16         79.36        480.02      0.12833     -0.40841     1.0000     0.6600     0.6600
     30        30       5       1198.08         79.36        428.18      0.35703      0.09679     1.0000     0.5600     0.5600
     31        31       3        740.47         78.46        374.10      1.25352      1.57816     0.4800     0.3000     0.3000
     31        31       4        693.03         78.46        387.48      1.28179      1.64444     0.5000     0.1400     0.1400
     31        31       5        742.92         78.46        450.13      1.08654      1.33073     0.8200     0.3200     0.3200
     32        32       3        327.93        221.26        981.79      0.32828     -2.01216     0.9000     0.8800     0.8800
     32        32       4        386.74        221.26        899.94      0.97086     -1.78613     0.6600     0.9400     0.6600
     32        32       5        419.53        221.26        786.55      1.00961     -1.22912     0.8200     0.8200     0.8200
     33        33       3        641.16        126.39        464.33      0.96065      0.92271     0.6200     0.4600     0.4600
     33        33       4        693.03        126.39        387.48      1.28179      1.64444     0.5400     0.2800     0.2800
     33        33       5        653.34        126.39        480.63      2.05856      0.97418     0.4200     0.1600     0.1600
     34        34       3         70.96        101.56        484.10      1.02161      1.06759     0.4800     0.3800     0.3800
     34        34       4        119.23        101.56        439.60      1.06032      1.45064     0.5600     0.1600     0.1600
     34        34       5        158.43        101.56        381.22      1.26847      1.96323     0.6000     0.2000     0.2000
     35        35       3       3886.98        441.02        279.03      1.53262     -2.05548     1.0000     0.9400     0.9400
     35        35       4       3999.20        441.02        254.73      2.48021     -1.69436     1.0000     0.9200     0.9200
     35        35       5       4069.40        441.02        296.54      1.94393     -2.87796     1.0000     0.9400     0.9400
     36        36       3       1665.73        138.80        189.25      1.30677      1.39842     0.8600     0.1400     0.1400
     36        36       4       1687.34        138.80        241.03      1.14286      0.80580     1.0000     0.3600     0.3600
     36        36       5       1740.96        138.80        226.09      1.08241      1.09866     1.0000     0.2400     0.2400
     37        37       3        194.11        312.09        338.41      0.25997      1.89807     0.8000     0.2200     0.2200
     37        37       4        155.98        312.09        598.55      0.33400      0.45590     0.9200     0.4800     0.4800
     37        37       5        159.04        312.09        566.25      0.69063      0.71135     0.7600     0.3800     0.3800
     38        38       3       1068.96        131.66        552.63      0.00243     -0.18902     1.0000     0.7200     0.7200
     38        38       4       1096.98        131.66        505.02      0.35916      0.17236     0.9600     0.6000     0.6000
     38        38       5        991.01        131.66        587.55      0.23589     -0.52556     0.9800     0.8000     0.8000
     39        39       3       2004.42        154.93        185.37      0.22562      0.93760     1.0000     0.3400     0.3400
     39        39       4       1932.26        154.93        173.97      0.00647      1.22448     1.0000     0.2800     0.2800
     39        39       5       2000.61        154.93        181.59      0.35640      1.18274     1.0000     0.3400     0.3400
     40        40       3       1758.92        154.46        238.84      0.33357      0.76201     1.0000     0.3800     0.3800
     40        40       4       1836.07        154.46        211.32      0.79500      0.58519     1.0000     0.4400     0.4400
     40        40       5       1894.91        154.46        213.60      0.53608      0.59048     1.0000     0.4000     0.4000
     41        41       3        866.91        291.58        395.62      0.46650      1.35532     0.8400     0.2800     0.2800
     41        41       4        790.97        291.58        499.35      1.11710      0.77653     0.6200     0.5000     0.5000
     41        41       5        742.92        291.58        450.13      1.08654      1.33073     0.6800     0.2200     0.2200
     42        42       3         70.96         42.30        484.10      1.02161      1.06759     0.5200     0.2800     0.2800
     42        42       4        132.69         42.30        440.24      1.05850      1.44664     0.5000     0.2000     0.2000
     42        42       5        159.04         42.30        566.25      0.69063      0.71135     0.8200     0.3600     0.3600
     43        43       3        206.96        238.35        399.31      1.00433      1.55088     0.4400     0.2600     0.2600
     43        43       4        155.22        238.35        418.62      0.95041      1.58197     0.7400     0.2200     0.2200
     43        43       5        237.61        238.35        627.11      0.44543      0.26497     0.9200     0.5400     0.5400
     44        44       3       1733.93        138.80        153.76      0.44163      1.85389     1.0000     0.2200     0.2200
     44        44       4       1789.31        138.80        133.60      0.43372      2.31954     1.0000     0.0600     0.0600
     44        44       5       1740.96        138.80        226.09      1.08241      1.09866     1.0000     0.2800     0.2800
