#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
     16        16      11       3136.81        132.56        323.25      4.09972      3.23808     0.0020     0.0060     0.0020
     16        16      12       3124.92        132.56        309.20      4.26756      3.48049     0.0040     0.0020     0.0020
     16        16      13       3113.11        132.56        297.20      4.49602      3.70721     0.0020     0.0020     0.0020
     17        17       3       2266.48        390.24        199.26      0.61779      2.79667     0.5460     0.0880     0.0880
     17        17       4       2154.28        390.24        165.63      0.69983      3.32634     0.5800     0.0060     0.0060
     17        17       5       1956.13        390.24        448.66      1.29148      1.97862     0.3060     0.1260     0.1260
     17        17       6       1987.01        390.24        477.35      1.15948      1.93862     0.4100     0.1100     0.1100
     17        17       7       1868.54        390.24        481.24      0.96822      2.23715     0.5000     0.0920     0.0920
     17        17       8       1753.04        390.24        481.55      0.84800      2.35088     0.6340     0.0540     0.0540
     17        17       9       1675.63        390.24        531.21      1.21955      2.13002     0.4640     0.0640     0.0640
     17        17      10       1607.18        390.24        505.40      1.21931      2.39711     0.4960     0.0360     0.0360
     17        17      11       1537.18        390.24        498.52      1.05908      2.77139     0.6120     0.0120     0.0120
     17        17      12       1514.10        390.24        563.80      0.79218      2.41540     0.7340     0.0320     0.0320
     17        17      13       1470.09        390.24        588.22      0.58072      2.31860     0.7880     0.0440     0.0440
     18        18       3       2725.04        122.04        171.04      1.12939      2.87465     0.2560     0.0580     0.0580
     18        18       4       2743.19        122.04        167.15      1.55104      3.17997     0.2200     0.0220     0.0220
     18        18       5       2779.43        122.04        147.25      1.78287      3.56929     0.1860     0.0040     0.0040
     18        18       6       2698.11        122.04        246.84      2.28263      3.10989     0.1160     0.0080     0.0080
     18        18       7       2710.80        122.04        337.94      2.17228      2.61193     0.1500     0.0400     0.0400
     18        18       8       2762.24        122.04        501.39      1.81936      1.46188     0.3140     0.1640     0.1640
     18        18       9       2685.59        122.04        544.99      2.32895      1.17068     0.1760     0.2100     0.1760
     18        18      10       2616.77        122.04        514.88      2.33888      1.79217     0.1820     0.1240     0.1240
     18        18      11       2652.44        122.04        546.79      2.15002      1.59670     0.2700     0.1400     0.1400
     18        18      12       2596.35        122.04        540.06      2.43913      1.71000     0.1700     0.1040     0.1040
     18        18      13       2581.49        122.04        520.85      2.63029      1.93489     0.1720     0.0660     0.0660
     19        19       3        115.73         38.71        808.49      0.64490      1.22628     0.4340     0.3600     0.3600
     19        19       4        100.43         38.71        805.69      1.14805      1.35627     0.2440     0.3340     0.2440
     19        19       5        100.27         38.71        847.51      0.98881      1.30653     0.3280     0.3000     0.3000
     19        19       6         99.76         38.71        812.01      1.33503      1.54059     0.2280     0.2200     0.2200
     19        19       7        123.74         38.71       1101.84      0.83605      0.37948     0.4920     0.4660     0.4660
     19        19       8        108.27         38.71       1037.73      0.75565      0.69035     0.5560     0.3880     0.3880
     19        19       9        130.54         38.71       1283.81      0.14301     -0.44720     0.9060     0.6600     0.6600
     19        19      10        138.67         38.71       1212.61      0.09321     -0.11339     0.9200     0.5540     0.5540
     19        19      11        153.98         38.71       1168.72      0.26396      0.10785     0.8660     0.5140     0.5140
     19        19      12        170.75         38.71       1120.45      0.18260      0.36830     0.9100     0.4980     0.4980
     19        19      13        163.52         38.71       1088.33      0.04212      0.55654     0.9720     0.4140     0.4140
     20        20       3        600.28        202.03       1269.04      0.73284     -0.66355     0.3800     0.7520     0.3800
     20        20       4        563.38        202.03       1251.18      1.47889     -0.65913     0.1660     0.7200     0.1660
     20        20       5        544.44        202.03       1209.11      1.26915     -0.43220     0.2380     0.6780     0.2380
     20        20       6        520.10        202.03       1199.55      1.85492     -0.41970     0.0980     0.6780     0.0980
     20        20       7        513.42        202.03       1101.03      1.94412      0.01415     0.1140     0.5900     0.1140
     20        20       8        564.60        202.03       1055.75      1.91140      0.12878     0.1340     0.5200     0.1340
     20        20       9        584.46        202.03       1135.68      1.55752     -0.28309     0.2640     0.6400     0.2640
     20        20      10        598.08        202.03       1185.52      1.20671     -0.56632     0.3980     0.6960     0.3980
     20        20      11        613.21        202.03       1176.33      0.96838     -0.53589     0.5600     0.7300     0.5600
     20        20      12        637.54        202.03       1248.95      0.52841     -0.97944     0.7720     0.7780     0.7720
     20        20      13        607.32        202.03       1245.96      0.24016     -0.99308     0.9300     0.8320     0.8320
     21        21       3       2016.38         99.11        317.93      1.64263      2.29639     0.1080     0.1540     0.1080
     21        21       4       2085.16         99.11        269.42      2.16874      2.77768     0.0660     0.0500     0.0500
     21        21       5       2196.16         99.11        338.47      2.26937      2.60831     0.0480     0.0320     0.0320
     21        21       6       2230.66         99.11        308.60      2.48696      2.96882     0.0520     0.0160     0.0160
     21        21       7       2300.76         99.11        317.71      2.75449      2.93260     0.0380     0.0180     0.0180
     21        21       8       2364.86         99.11        294.68      2.95980      3.25245     0.0440     0.0100     0.0100
     21        21       9       2411.76         99.11        380.84      2.83425      2.74441     0.0620     0.0280     0.0280
     21        21      10       2336.99         99.11        437.45      2.68865      2.40829     0.0860     0.0440     0.0440
     21        21      11       2378.87         99.11        416.31      2.87881      2.67447     0.0900     0.0220     0.0220
     21        21      12       2424.33         99.11        397.96      2.98406      2.92480     0.0800     0.0080     0.0080
     21        21      13       2332.05         99.11        524.21      3.58706      1.90520     0.0160     0.0900     0.0160
     22        22       3        742.85         77.66        154.17      1.09043      3.26983     0.1800     0.0340     0.0340
     22        22       4        783.43         77.66        371.30      1.70595      2.69362     0.0940     0.0600     0.0600
     22        22       5        759.52         77.66        355.42      1.82668      3.01782     0.1280     0.0180     0.0180
     22        22       6        717.68         77.66        751.94      1.47367      1.40679     0.1760     0.2040     0.1760
     22        22       7        704.94         77.66       1175.95      0.78883     -0.56787     0.5380     0.7320     0.5380
     22        22       8        675.41         77.66       1089.22      0.82497     -0.15461     0.5560     0.6020     0.5560
     22        22       9        702.90         77.66       1029.03      0.75486      0.15962     0.6500     0.5900     0.5900
     22        22      10        740.38         77.66        975.43      0.71075      0.46432     0.6740     0.4080     0.4080
     22        22      11        723.69         77.66       1024.75      0.35250      0.19726     0.8300     0.4620     0.4620
     22        22      12        756.72         77.66       1012.94      0.61221      0.27471     0.7700     0.4800     0.4800
     22        22      13        729.15         77.66       1142.43      0.09006     -0.51506     0.9700     0.7060     0.7060
     23        23       3       1804.47        120.41        971.57      0.32995     -0.53547     0.7340     0.7440     0.7340
     23        23       4       1797.37        120.41       1067.58      0.28474     -1.06124     0.8180     0.8300     0.8180
     23        23       5       1774.11        120.41       1295.66      0.60516     -2.36282     0.6560     0.9460     0.6560
     23        23       6       1804.49        120.41       1201.94      0.34239     -1.99063     0.8160     0.9140     0.8160
     23        23       7       1854.95        120.41       1117.77      0.60748     -1.60038     0.6860     0.8980     0.6860
     23        23       8       1881.44        120.41       1050.98      0.85880     -1.25969     0.6320     0.8380     0.6320
     23        23       9       1900.44        120.41       1003.33      1.22375     -1.48233     0.5120     0.8560     0.5120
     23        23      10       1917.02        120.41        964.75      1.52595     -1.25830     0.4460     0.8420     0.4460
     23        23      11       1883.58        120.41        915.46      1.58585     -0.92705     0.4560     0.7900     0.4560
     23        23      12       1926.33        120.41        892.15      1.88715     -0.77398     0.3480     0.7700     0.3480
     23        23      13       1864.53        120.41        881.36      2.08480     -0.22260     0.2500     0.6240     0.2500
     24        24       3        299.06        156.01       1332.03      0.20053     -0.50493     0.8020     0.7200     0.7200
     24        24       4        301.47        156.01       1478.01      0.97077     -1.07563     0.3240     0.8080     0.3240
     24        24       5        334.53        156.01       1577.30      0.45692     -1.67990     0.6580     0.8720     0.6580
     24        24       6        346.08        156.01       1581.01      1.07603     -1.81029     0.3280     0.9080     0.3280
     24        24       7        347.38        156.01       1446.41      1.10700     -1.31618     0.3580     0.8680     0.3580
     24        24       8        316.11        156.01       1487.54      0.65852     -1.42722     0.6380     0.8820     0.6380
     24        24       9        298.74        156.01       1474.85      0.31324     -1.43212     0.8280     0.8800     0.8280
     24        24      10        279.44        156.01       1392.08      0.38617     -1.07759     0.8100     0.8340     0.8100
     24        24      11        301.75        156.01       1501.22      0.17231     -1.68547     0.9340     0.8920     0.8920
     24        24      12        283.41        156.01       1452.02      0.38000     -1.47988     0.8120     0.8940     0.8120
     24        24      13        267.51        156.01       1404.90      0.22854     -1.18144     0.8980     0.8480     0.8480
     25        25       3       2134.11        254.62        181.21      1.34198      2.95459     0.1760     0.0540     0.0540
     25        25       4       2159.30        254.62        653.66      1.03576      0.74665     0.4060     0.4240     0.4060
     25        25       5       2124.38        254.62        566.62      1.24095      1.30456     0.3320     0.2520     0.2520
     25        25       6       2081.16        254.62        521.00      1.53493      1.67217     0.2800     0.1940     0.1940
     25        25       7       2005.16        254.62        482.30      1.59505      2.02074     0.2960     0.0820     0.0820
     25        25       8       1977.01        254.62        453.98      1.82326      2.31787     0.2660     0.0440     0.0440
     25        25       9       1968.16        254.62        663.31      2.55683      0.93596     0.0840     0.3020     0.0840
     25        25      10       2036.76        254.62        818.59      2.08355     -0.17545     0.2200     0.6120     0.2200
     25        25      11       2012.37        254.62        892.65      1.66880     -0.75168     0.4080     0.7480     0.4080
     25        25      12       2024.49        254.62        854.87      1.84802     -0.47724     0.3340     0.7120     0.3340
     25        25      13       2076.72        254.62        850.58      1.65035     -0.45741     0.4620     0.6840     0.4620
     26        26       3       2194.92        195.05        734.93      0.59781      0.28875     0.5820     0.5920     0.5820
     26        26       4       2159.30        195.05        653.66      1.03576      0.74665     0.3480     0.4380     0.3480
     26        26       5       2124.38        195.05        566.62      1.24095      1.30456     0.3400     0.2680     0.2680
     26        26       6       2086.54        195.05        819.24      2.13092     -0.14856     0.0920     0.5760     0.0920
     26        26       7       2167.64        195.05        989.75      1.59109     -1.25945     0.3140     0.8380     0.3140
     26        26       8       2090.33        195.05        918.54      1.64773     -0.84053     0.3080     0.8140     0.3080
     26        26       9       2059.55        195.05       1147.04      0.86262     -2.50444     0.6740     0.9640     0.6740
     26        26      10       2040.10        195.05       1095.53      1.12534     -2.22726     0.5840     0.9500     0.5840
     26        26      11       2100.41        195.05       1059.97      0.93679     -2.03842     0.7060     0.9240     0.7060
     26        26      12       2165.38        195.05       1017.25      0.84331     -1.76961     0.7740     0.8960     0.7740
     26        26      13       2135.73        195.05        985.80      1.06604     -1.56844     0.7220     0.9120     0.7220
     27        27       3       1774.82         47.07       1058.19      0.70933     -0.92439     0.4480     0.7900     0.4480
     27        27       4       1797.37         47.07       1067.58      0.28474     -1.06124     0.8160     0.8020     0.8020
     27        27       5       1774.11         47.07       1295.66      0.60516     -2.36282     0.6060     0.9560     0.6060
     27        27       6       1804.49         47.07       1201.94      0.34239     -1.99063     0.8400     0.9260     0.8400
     27        27       7       1854.95         47.07       1117.77      0.60748     -1.60038     0.7360     0.8780     0.7360
     27        27       8       1881.44         47.07       1050.98      0.85880     -1.25969     0.5620     0.8520     0.5620
     27        27       9       1938.68         47.07       1015.23      1.28657     -1.56698     0.4960     0.9100     0.4960
