#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
      0         0       3         43.76         96.59       1103.59      0.28764      0.27701     0.7420     0.5880     0.5880
      0         0       4         53.23         96.59        957.98      0.59633      0.81842     0.5160     0.4300     0.4300
      0         0       5         62.03         96.59        919.80      0.99305      1.03055     0.3300     0.3500     0.3300
      0         0       6         68.29         96.59        894.98      0.84976      1.20217     0.4800     0.2960     0.2960
      0         0       7         73.65         96.59        870.58      0.70135      1.37833     0.5620     0.2060     0.2060
      0         0       8         84.41         96.59        857.95      0.99025      1.50701     0.4160     0.1820     0.1820
      0         0       9         95.50         96.59        934.55      0.68064      1.21254     0.6660     0.2360     0.2360
      0         0      10        107.14         96.59        892.94      0.60699      1.46906     0.6600     0.2000     0.2000
      0         0      11        116.69         96.59       1024.53      0.17746      0.84874     0.9040     0.2940     0.2940
      0         0      12        127.35         96.59       1020.57      0.42473      0.89945     0.8200     0.3200     0.3200
      0         0      13        136.75         96.59       1028.12      0.18469      0.88707     0.9240     0.2800     0.2800
      1         1       3       2972.23          9.71        207.27      1.70137      2.67289     0.0860     0.0980     0.0860
      1         1       4       2977.70          9.71        174.21      2.11667      3.13680     0.0700     0.0180     0.0180
      1         1       5       2973.03          9.71        227.66      2.26160      3.03786     0.0900     0.0120     0.0120
      1         1       6       2975.05          9.71        204.98      2.57751      3.40544     0.0580     0.0120     0.0120
      1         1       7       2978.22          9.71        187.91      2.81156      3.73359     0.0460     0.0040     0.0040
      1         1       8       2982.51          9.71        234.14      2.83110      3.56322     0.0600     0.0020     0.0020
      1         1       9       2985.28          9.71        264.37      2.82816      3.47904     0.0580     0.0020     0.0020
      1         1      10       2987.50          9.71        280.75      2.82436      3.48366     0.0720     0.0040     0.0040
      1         1      11       2990.59          9.71        276.45      2.87648      3.65432     0.0760     0.0020     0.0020
      1         1      12       2990.88          9.71        285.04      2.86704      3.70290     0.0820     0.0000     0.0000
      1         1      13       2990.95          9.71        285.50      2.87825      3.81838     0.1380     0.0000     0.0000
      2         2       3        774.83        142.56        275.34      1.90246      2.83193     0.0260     0.0640     0.0260
      2         2       4        758.17        142.56        730.69      1.87115      1.30243     0.0720     0.3220     0.0720
      2         2       5        783.15        142.56        717.87      1.95566      1.39008     0.0820     0.2780     0.0820
      2         2       6        798.10        142.56        682.32      2.40418      1.65177     0.0480     0.1520     0.0480
      2         2       7        810.09        142.56        631.01      2.73410      2.00389     0.0200     0.1080     0.0200
      2         2       8        805.03        142.56        609.72      3.11791      2.21880     0.0020     0.0720     0.0020
      2         2       9        822.25        142.56        575.39      3.26911      2.50886     0.0060     0.0340     0.0060
      2         2      10        799.37        142.56        551.46      3.56221      2.74966     0.0000     0.0240     0.0000
      2         2      11        811.15        142.56        530.21      3.83744      2.97974     0.0020     0.0060     0.0020
      2         2      12        824.16        142.56        560.59      4.25195      2.89808     0.0000     0.0100     0.0000
      2         2      13        804.02        142.56        656.22      4.09114      2.38801     0.0020     0.0320     0.0020
      3         3       3       1131.99        120.75       1198.19      0.15583     -0.90184     0.8540     0.7880     0.7880
      3         3       4       1075.28        120.75       1291.88      0.51241     -1.17663     0.6260     0.8220     0.6260
      3         3       5       1077.45        120.75       1157.24      0.34207     -0.66604     0.7740     0.7320     0.7320
      3         3       6       1080.73        120.75       1151.91      0.06865     -0.68588     0.9540     0.7620     0.7620
      3         3       7       1127.88        120.75       1056.12      0.01485     -0.45802     0.9940     0.6980     0.6980
      3         3       8       1150.18        120.75       1121.97      0.54625     -0.84870     0.7620     0.7680     0.7620
      3         3       9       1107.32        120.75       1063.10      0.72036     -0.30163     0.6300     0.6700     0.6300
      3         3      10       1070.92        120.75       1022.73      0.95636     -0.07862     0.5560     0.5500     0.5500
      3         3      11       1039.09        120.75        992.48      1.20667      0.10163     0.4560     0.5280     0.4560
      3         3      12       1045.74        120.75       1021.89      0.89932     -0.07919     0.6480     0.5840     0.5840
      3         3      13       1071.53        120.75        984.35      0.83642      0.16121     0.7080     0.5080     0.5080
      4         4       3       1120.61        114.44         95.65      1.67790      3.44952     0.0480     0.0160     0.0160
      4         4       4       1073.92        114.44        158.29      2.16828      3.54283     0.0180     0.0020     0.0020
      4         4       5       1068.63        114.44        598.48      2.03191      1.84885     0.0520     0.1560     0.0520
      4         4       6       1043.14        114.44        568.05      2.11714      2.12142     0.0600     0.0900     0.0600
      4         4       7       1058.35        114.44        891.92      1.66499      0.59739     0.1800     0.4200     0.1800
      4         4       8       1089.18        114.44       1116.73      1.10673     -0.57546     0.4540     0.6900     0.4540
      4         4       9       1075.04        114.44       1106.23      0.84478     -0.54319     0.5760     0.6980     0.5760
      4         4      10       1056.71        114.44       1075.09      0.65143     -0.38412     0.6940     0.6300     0.6300
      4         4      11       1050.16        114.44       1089.46      0.32455     -0.48577     0.8640     0.6560     0.6560
      4         4      12       1091.75        114.44       1040.96      0.40497     -0.19873     0.8400     0.6000     0.6000
      4         4      13       1082.64        114.44       1050.50      0.10603     -0.26690     0.9500     0.5740     0.5740
      5         5       3       3818.56        485.11        127.44      2.13851      3.02873     0.0300     0.0500     0.0300
      5         5       4       3646.51        485.11        547.50      1.90551      0.58543     0.0960     0.5180     0.0960
      5         5       5       3615.13        485.11        474.51      2.25840      1.15412     0.1020     0.3120     0.1020
      5         5       6       3585.40        485.11        433.97      2.67182      1.54221     0.0640     0.2180     0.0640
      5         5       7       3509.26        485.11        428.82      3.17637      1.67462     0.0300     0.1280     0.0300
      5         5       8       3495.20        485.11        409.43      3.58610      1.92598     0.0020     0.1020     0.0020
      5         5       9       3442.56        485.11        412.89      3.61101      1.98414     0.0100     0.0940     0.0100
      5         5      10       3402.77        485.11        413.24      4.04138      2.06351     0.0060     0.0680     0.0060
      5         5      11       3369.78        485.11        412.42      4.45567      2.14987     0.0000     0.0720     0.0000
      5         5      12       3340.01        485.11        423.62      4.43804      2.11363     0.0000     0.0500     0.0000
      5         5      13       3314.44        485.11        435.35      4.39769      2.06157     0.0060     0.0780     0.0060
      6         6       3        973.32         87.82        227.40      1.21919      2.96475     0.1920     0.0460     0.0460
      6         6       4       1017.39         87.82        186.11      1.56364      3.42703     0.1000     0.0100     0.0100
      6         6       5       1000.69         87.82       1105.50      0.87697     -0.43316     0.4240     0.6720     0.4240
      6         6       6       1014.00         87.82       1226.04      0.33665     -1.04232     0.8240     0.7920     0.7920
      6         6       7        971.57         87.82       1242.18      0.12233     -1.18589     0.9220     0.8400     0.8400
      6         6       8       1013.25         87.82       1264.73      0.35475     -1.36798     0.8480     0.8620     0.8480
      6         6       9        968.23         87.82       1188.95      0.49044     -1.00662     0.7520     0.8100     0.7520
      6         6      10        987.23         87.82       1195.08      0.13070     -1.08432     0.9140     0.8260     0.8260
      6         6      11        958.72         87.82       1166.47      0.12190     -0.95227     0.9400     0.8200     0.8200
      6         6      12        972.41         87.82       1164.50      0.45623     -0.97316     0.8000     0.8200     0.8000
      6         6      13        936.98         87.82       1183.79      0.09671     -1.12951     0.9560     0.8240     0.8240
      7         7       3       1204.63        327.25       1025.85      1.37199     -0.22166     0.1220     0.6900     0.1220
      7         7       4       1135.69        327.25        874.80      1.96660      0.41113     0.0720     0.4900     0.0720
      7         7       5       1100.56        327.25        760.23      2.15888      1.12082     0.0300     0.3440     0.0300
      7         7       6       1064.31        327.25        735.30      2.17955      1.31723     0.0820     0.2700     0.0820
      7         7       7       1067.37        327.25        806.07      1.98899      1.03447     0.1160     0.2760     0.1160
      7         7       8       1086.70        327.25        756.81      2.03706      1.35180     0.1360     0.2220     0.1360
      7         7       9       1062.94        327.25        758.12      2.43465      1.40682     0.0760     0.2160     0.0760
      7         7      10       1044.85        327.25        733.40      2.73979      1.60972     0.0300     0.1320     0.0300
      7         7      11       1019.82        327.25        729.93      3.09924      1.69189     0.0160     0.1400     0.0160
      7         7      12       1002.99        327.25        737.15      3.48353      1.70578     0.0100     0.1260     0.0100
      7         7      13        985.78        327.25        714.45      3.74610      1.90786     0.0040     0.0800     0.0040
      8         8       3       1391.28        494.35         98.96      1.35360      3.41176     0.1600     0.0120     0.0120
      8         8       4       1453.47        494.35        369.58      1.39163      2.49900     0.1840     0.0780     0.0780
      8         8       5       1386.55        494.35        332.04      1.71608      2.88860     0.1580     0.0180     0.0180
      8         8       6       1450.75        494.35        383.81      2.17377      2.81038     0.0680     0.0280     0.0280
      8         8       7       1400.23        494.35        356.20      2.45554      3.13141     0.0460     0.0160     0.0160
      8         8       8       1360.97        494.35        385.28      2.45454      3.12107     0.0680     0.0120     0.0120
      8         8       9       1354.89        494.35        880.24      1.79756      0.19660     0.2680     0.5140     0.2680
      8         8      10       1362.85        494.35       1046.83      1.24393     -0.87097     0.5020     0.7540     0.5020
      8         8      11       1401.99        494.35       1058.85      1.69711     -0.98466     0.3360     0.8200     0.3360
      8         8      12       1367.22        494.35       1103.09      1.31299     -1.32600     0.4760     0.8540     0.4760
      8         8      13       1336.92        494.35       1128.57      0.95149     -1.55136     0.6760     0.8620     0.6760
      9         9       3       2719.73        149.79        163.41      1.12090      2.91712     0.2860     0.0380     0.0380
      9         9       4       2743.19        149.79        167.15      1.55104      3.17997     0.1960     0.0060     0.0060
      9         9       5       2846.97        149.79        194.73      1.65042      3.25549     0.2320     0.0140     0.0140
      9         9       6       2859.87        149.79        174.17      1.85716      3.62297     0.2160     0.0040     0.0040
      9         9       7       2897.36        149.79        435.11      1.49877      1.88546     0.3840     0.1240     0.1240
      9         9       8       2883.57        149.79        424.81      1.43939      2.06397     0.4200     0.0920     0.0920
      9         9       9       2817.78        149.79        471.02      1.88825      1.77911     0.3420     0.1120     0.1120
      9         9      10       2743.24        149.79        518.65      2.37533      1.44519     0.1860     0.1860     0.1860
      9         9      11       2767.42        149.79        545.64      2.17782      1.26000     0.2900     0.2120     0.2120
      9         9      12       2703.24        149.79        523.37      2.36521      1.50902     0.2480     0.1560     0.1560
      9         9      13       2656.05        149.79        540.04      2.55746      1.76551     0.2020     0.0880     0.0880
     10        10       3       2016.38        129.65        317.93      1.64263      2.29639     0.0860     0.1620     0.0860
     10        10       4       2085.16        129.65        269.42      2.16874      2.77768     0.0480     0.0440     0.0440
     10        10       5       2148.75        129.65        259.96      2.41418      3.05696     0.0380     0.0140     0.0140
     10        10       6       2230.66        129.65        308.60      2.48696      2.96882     0.0460     0.0200     0.0200
     10        10       7       2149.72        129.65        453.31      2.32286      2.20818     0.0880     0.0780     0.0780
     10        10       8       2221.17        129.65        429.21      2.40927      2.48622     0.0860     0.0500     0.0500
     10        10       9       2110.45        129.65        575.61      3.06909      1.55974     0.0340     0.1820     0.0340
     10        10      10       2056.56        129.65        549.65      3.15455      1.81705     0.0300     0.1320     0.0300
     10        10      11       2122.96        129.65        573.78      3.03996      1.70055     0.0540     0.1400     0.0540
     10        10      12       2180.51        129.65        547.12      3.19797      1.97220     0.0340     0.0740     0.0340
     10        10      13       2177.43        129.65        523.86      3.34896      2.22711     0.0220     0.0520     0.0220
     11        11       3        359.01         41.02        214.82      0.64899      3.11305     0.4720     0.0400     0.0400
     11        11       4        336.15         41.02       1018.77      0.09364      0.48421     0.9300     0.4980     0.4980
     11        11       5        371.29         41.02       1040.20      0.53155      0.43894     0.6620     0.4680     0.4680
     11        11       6        370.33         41.02        995.33      0.32022      0.65803     0.7620     0.4520     0.4520
     11        11       7        347.70         41.02        917.55      0.24975      1.04384     0.8700     0.2880     0.2880
     11        11       8        380.24         41.02        859.65      0.37733      1.36961     0.8000     0.2500     0.2500
     11        11       9        385.89         41.02        823.72      0.26324      1.52242     0.8540     0.1780     0.1780
     11        11      10        363.27         41.02        846.94      0.55246      1.55752     0.7100     0.1600     0.1600
     11        11      11        362.54         41.02        818.51      0.45321      1.76767     0.7620     0.1220     0.1220
     11        11      12        340.63         41.02        790.16      0.37248      1.98524     0.7960     0.0920     0.0920
     11        11      13        366.24         41.02        805.27      0.15821      1.96371     0.9180     0.0920     0.0920
     12        12       3       3018.63         91.24        558.37      0.10374      0.71791     0.9260     0.4880     0.4880
     12        12       4       2967.37         91.24        619.45      0.38106      0.41481     0.7620     0.5160     0.5160
     12        12       5       2931.29         91.24        538.93      0.38048      0.98064     0.8140     0.3580     0.3580
     12        12       6       2896.30         91.24        505.07      0.62722      1.28665     0.7380     0.2360     0.2360
     12        12       7       2859.71         91.24        473.25      0.83301      1.60029     0.6900     0.1660     0.1660
     12        12       8       2851.95         91.24        477.50      1.15997      1.64966     0.5880     0.1620     0.1620
     12        12       9       2789.68         91.24        525.64      1.62231      1.32979     0.4660     0.1900     0.1900
     12        12      10       2797.21         91.24        496.24      1.68740      1.63721     0.4620     0.1160     0.1160
     12        12      11       2761.39         91.24        484.69      1.94043      1.80209     0.3640     0.0960     0.0960
     12        12      12       2703.97         91.24        528.07      2.39327      1.46579     0.2420     0.1400     0.1400
     12        12      13       2775.30         91.24        560.55      2.16129      1.20454     0.3840     0.1920     0.1920
     13        13       3        441.48        116.07        792.83      1.79794      1.13542     0.0340     0.3860     0.0340
     13        13       4        413.84        116.07        648.56      2.31993      1.78436     0.0200     0.1880     0.0200
     13        13       5        380.01        116.07       1309.44      1.75578     -0.62321     0.1060     0.7160     0.1060
     13        13       6        411.38        116.07       1196.49      2.21601     -0.29793     0.0500     0.6760     0.0500
     13        13       7        433.63        116.07       1106.46      2.58177      0.09488     0.0300     0.5260     0.0300
     13        13       8        457.99        116.07       1048.37      2.98015      0.37827     0.0120     0.4980     0.0120
     13        13       9        430.67        116.07        989.67      3.30237      0.69016     0.0060     0.3820     0.0060
     13        13      10        434.47        116.07       1056.12      3.08951      0.37173     0.0140     0.4440     0.0140
     13        13      11        417.66        116.07       1003.06      3.21878      0.67363     0.0140     0.3500     0.0140
     13        13      12        425.23        116.07        965.43      3.26549      0.90835     0.0160     0.2820     0.0160
     13        13      13        443.58        116.07       1052.80      2.98123      0.43150     0.0200     0.4440     0.0200
     14        14       3       1351.74        225.31        704.81      1.71676      0.86929     0.0400     0.4360     0.0400
     14        14       4       1265.27        225.31       1068.08      1.27619     -0.42636     0.2460     0.7400     0.2460
     14        14       5       1196.78        225.31        967.41      1.23783      0.01068     0.2620     0.6180     0.2620
     14        14       6       1227.48        225.31        888.27      1.20611      0.40746     0.3320     0.5060     0.3320
     14        14       7       1181.44        225.31       1134.67      0.57131     -0.87429     0.7440     0.7800     0.7440
     14        14       8       1116.74        225.31       1101.55      0.29922     -0.73489     0.8460     0.7740     0.7740
     14        14       9       1062.49        225.31       1178.08      0.84154     -0.94573     0.6000     0.8160     0.6000
     14        14      10       1097.32        225.31       1123.22      0.73615     -0.66502     0.6960     0.7180     0.6960
     14        14      11       1065.14        225.31       1120.33      0.44900     -0.67280     0.7940     0.7240     0.7240
     14        14      12       1040.09        225.31       1096.14      0.23722     -0.54465     0.8960     0.6860     0.6860
     14        14      13       1015.52        225.31       1091.85      0.03981     -0.53448     0.9880     0.6760     0.6760
     15        15       3       2106.81        367.84        671.93      1.36583      0.59209     0.1360     0.4940     0.1360
     15        15       4       1991.93        367.84        957.70      0.90924     -0.86048     0.4660     0.7740     0.4660
     15        15       5       2080.91        367.84        926.77      1.52402     -0.75348     0.2380     0.7640     0.2380
     15        15       6       1967.87        367.84        847.59      1.91760     -0.32160     0.1740     0.6440     0.1740
     15        15       7       1873.35        367.84       1149.46      1.04675     -1.79144     0.4980     0.9160     0.4980
     15        15       8       1850.54        367.84       1115.08      0.76828     -1.66613     0.6800     0.9060     0.6800
     15        15       9       1795.62        367.84       1064.94      1.06025     -1.41040     0.5340     0.8820     0.5340
     15        15      10       1727.95        367.84       1023.77      1.34879     -1.18472     0.4540     0.8660     0.4540
     15        15      11       1670.60        367.84        992.67      1.65289     -1.00665     0.3560     0.7800     0.3560
     15        15      12       1631.23        367.84        981.85      2.02880     -0.96152     0.2380     0.7760     0.2380
     15        15      13       1642.04        367.84        970.49      2.39273     -0.90563     0.1340     0.7600     0.1340
     16        16       3       3441.05        132.56        174.73      1.95376      2.77586     0.0540     0.1100     0.0540
     16        16       4       3365.81        132.56        185.35      2.33229      2.97758     0.0600     0.0380     0.0380
     16        16       5       3301.11        132.56        170.19      2.65454      3.32719     0.0360     0.0160     0.0160
     16        16       6       3259.65        132.56        206.95      3.18855      3.27402     0.0080     0.0100     0.0080
     16        16       7       3228.95        132.56        227.74      3.69105      3.29883     0.0040     0.0020     0.0020
     16        16       8       3205.31        132.56        239.01      4.16168      3.37374     0.0000     0.0060     0.0000
     16        16       9       3169.16        132.56        357.23      3.74193      2.71512     0.0120     0.0080     0.0080
     16        16      10       3151.97        132.56        340.40      3.90498      2.97250     0.0040     0.0060     0.0040
