#  idx_gal   shID  Ngali  Ngalf    Rij(kpc)  size(kpc)  sigm(km/s)  Pmin(ds)    GrNr    x(kpc)    y(kpc)   V_LOS(km/s)
     70       70      3      3     1774.82      47.07    1058.19     0.9040      46   -1773.67      92.54   -1566.33
     71       71      0      0        0.00       0.00       0.00    -1.0000      -1     586.84     997.99    -225.38
     72       72      3      3     2906.85      91.24     412.67     0.1180      34    2979.30    -422.90    -589.29
     73       73      3      3      383.93      26.17     129.45     0.0060      16    -430.71      17.54      21.02
     74       74      0      0        0.00       0.00       0.00    -1.0000      -1    -281.47     126.77    1829.93
     75       75      0      0        0.00       0.00       0.00    -1.0000      -1    -644.57   -1508.05    -136.92
     76       76      3      3     2366.84     928.31     459.68     0.1940      20     -13.20   -2349.84     136.74
     77       77      3      3      805.06     113.38     738.77     0.3920      39     702.42     306.53    -942.60
     78       78      0      0        0.00       0.00       0.00    -1.0000      -1     462.60     443.03    1101.31
     79       79      3      3     1057.57     270.12     186.08     0.3220       9    -823.15    -441.04    1157.02
     80       80      0      0        0.00       0.00       0.00    -1.0000      -1     138.14     121.90     640.42
     81       81      3      3     1051.12     434.34    1329.73     0.4440      42     966.20    -279.72    -964.43
     82       82      0      0        0.00       0.00       0.00    -1.0000      -1     295.92    1793.46    -634.52
     83       83      0      0        0.00       0.00       0.00    -1.0000      -1    2281.61    -212.57     782.64
     84       84      3      3      235.44      57.98    1440.28     0.0820      27     242.62      58.08     650.75
     85       85      3      3     1051.12     434.34    1329.73     0.2340      42    1198.32    -252.69    1611.71
     86       86      3      3     2725.04     122.04     171.04     0.0500      13    2813.41     -29.64     434.35
     87       87      3      3     1057.57     270.12     186.08     0.0380       9    -980.00    -455.19     976.19
     88       88      3      3      742.85     146.22     154.17     0.0100      21     409.48    -645.59   -1059.35
     89       89      4      4       69.93     150.64     854.28     0.2660      40    -105.41       8.64     -10.33
     90       90      3      3      857.58     123.65     220.51     0.0160       1    -756.62     310.44   -2178.89
     91       91      0      0        0.00       0.00       0.00    -1.0000      -1   -1675.05     141.87    1535.02
     92       92      4      4     1797.67     396.77    1784.26     0.3380      44   -1189.50    -906.19    1558.05
     93       93      3      3     1124.20      81.09     965.41     0.7360      25   -1059.55     106.39   -2061.43
     94       94      3      3     2906.85      91.24     412.67     0.2960      34    2763.09    -364.05    -309.84
     95       95      3      3      752.32     186.53     825.56     0.1300      10    -607.70     472.16   -2002.79
     96       96      3      3     1051.12     434.34    1329.73     0.2720      42     764.12    -517.37    -248.31
     97       97      3      3     1100.71      20.54     381.38     0.1480      38     156.10   -1085.95     712.66
     98       98      3      3     2038.37     910.22     110.56     0.0120      14    1892.31   -1000.25     435.62
     99       99      0      0        0.00       0.00       0.00    -1.0000      -1    -504.97     247.51    -311.43
    100      100      3      3     2207.07     111.23     187.66     0.0400      29   -2395.19      82.36     686.68
    101      101      5      5     2742.13     119.26     591.68     0.4560      32   -2659.81    -301.24     263.42
    102      102      0      0        0.00       0.00       0.00    -1.0000      -1    -323.48    1005.60   -1468.55
    103      103      3      3     2207.07     111.23     187.66     0.5100      29   -2157.73       7.02     345.60
    104      104      3      3     3441.05     132.56     174.73     0.0600       5   -3215.27   -1095.46   -1461.31
    105      105      0      0        0.00       0.00       0.00    -1.0000      -1    -859.47   -1148.48   -1788.75
    106      106      0      0        0.00       0.00       0.00    -1.0000      -1    -774.35    -570.72   -1019.92
    107      107      3      3     2016.38      77.46     317.93     0.1060      11    1974.89    -133.47     639.94
    108      108      3      3     3818.56     485.11     127.44     0.2180       7   -3474.08     212.69   -1440.26
    109      109      0      0        0.00       0.00       0.00    -1.0000      -1   -1856.44    -178.91     445.94
    110      110      0      0        0.00       0.00       0.00    -1.0000      -1     -72.89     -36.77   -1260.01
    111      111      3      3     1100.71      20.54     381.38     0.1320      38     171.12   -1072.55       3.59
    112      112      5      5     2742.13     119.26     591.68     0.2800      32   -2778.56    -311.81    -987.69
    113      113      3      3     1391.28     494.35      98.96     0.1580      23    -464.06   -1336.58     513.98
    114      114      3      3     2038.37     910.22     110.56     0.0500      14    1421.76    -669.63     235.99
    115      115      3      3     2056.35     473.03     507.10     0.3300      24   -1184.69    1346.69   -1247.10
    116      116      0      0        0.00       0.00       0.00    -1.0000      -1   -1141.24     780.21   -1228.91
    117      117      3      3      936.79     117.91     849.58     0.0840       3    -770.24     431.88    -770.32
    118      118      3      3     1985.06     201.38     681.74     0.1800      22    1892.68     885.96     864.41
    119      119      3      3      951.61     161.61     549.36     0.3480      35    -887.81     -82.97    -873.97
    120      120      0      0        0.00       0.00       0.00    -1.0000      -1     156.42    1152.97   -1631.69
    121      121      0      0        0.00       0.00       0.00    -1.0000      -1   -2987.52    -561.54   -1630.76
    122      122      0      0        0.00       0.00       0.00    -1.0000      -1   -1953.38     108.20    -869.82
    123      123      3      3     2207.07     111.23     187.66     0.5340      29   -2048.31     276.39     380.51
    124      124      0      0        0.00       0.00       0.00    -1.0000      -1     218.11     682.54     954.92
    125      125      4      4     1797.67     396.77    1784.26     0.4060      44   -1775.04    -887.85     194.02
    126      126      3      3      235.44      57.98    1440.28     0.5100      27     202.66     -62.81    1320.42
    127      127      0      0        0.00       0.00       0.00    -1.0000      -1     555.26     254.47     102.59
    128      128      0      0        0.00       0.00       0.00    -1.0000      -1   -2876.23      89.89   -1309.68
    129      129      4      4     1797.67     396.77    1784.26     0.2300      44   -1378.29   -1178.26   -2134.44
    130      130      3      3      383.93      26.17     129.45     0.0540      16    -346.05      80.00     -44.29
    131      131      3      3      604.66     132.33     357.39     0.0540      30     651.38     190.40     640.42
    132      132      4      4       69.93     150.64     854.28     0.3300      40     -31.29      92.04   -1660.22
    133      133      3      3     2056.35     473.03     507.10     0.3400      24   -1019.38    1883.20    -238.01
    134      134      3      3      359.01     135.11     214.82     0.6460      28    -271.40    -143.66   -1071.17
    135      135      3      3      441.48     116.07     792.83     0.0720      18     339.33    -208.74    1631.77
    136      136      0      0        0.00       0.00       0.00    -1.0000      -1    -469.58    -203.70   -1646.55
    137      137      3      3      937.99     128.40     508.24     0.2340      15     552.14     763.15     275.11
    138      138      0      0        0.00       0.00       0.00    -1.0000      -1   -1151.79   -1816.21     488.13
    139      139      4      4     1797.67     396.77    1784.26     0.1960      44   -1557.46   -1083.61    1726.71
    140      140      3      3      666.20      99.76     923.23     0.4380      43    -624.56    -352.12     922.22
    141      141      3      3      937.99     128.40     508.24     0.4180      15     591.88     652.39    -680.24
    142      142      3      3      432.77      80.09     412.06     0.1220      26     181.24     375.09     125.54
    143      143      3      3     2906.85      91.24     412.67     0.6320      34    2921.99    -119.00     222.98
    144      144      4      4       69.93     150.64     854.28     0.4800      40      44.22      62.71     245.93
    145      145      4      4      679.12     127.55    1183.35     0.0200      41    -783.58     144.54   -1954.27
    146      146      3      3      604.66     132.33     357.39     0.0540      30     552.83     131.45    1274.61
    147      147      5      5      446.32     250.96    1434.85     0.3000      45    -222.29     475.47   -2566.62
    148      148      3      3     2725.04     122.04     171.04     0.0400      13    2708.29     266.43     151.68
    149      149      3      3     1100.71      20.54     381.38     0.1220      38      38.22   -1118.25     601.59
    150      150      3      3      600.28     202.03    1269.04     0.2460      36     366.65    -352.33     337.47
    151      151      3      3     3078.25     145.64     272.61     0.0760       4   -3028.36    -830.18   -1054.89
    152      152      3      3     1391.28     494.35      98.96     0.8460      23      28.75   -1402.38     697.51
    153      153      3      3      383.93      26.17     129.45     0.2800      16    -358.54     -71.15     205.33
    154      154      3      3      936.79     117.91     849.58     0.0260       3    -816.20     519.07   -2442.04
    155      155      3      3      847.49     129.69     115.80     0.3080      12     160.51     821.58    -243.49
    156      156      0      0        0.00       0.00       0.00    -1.0000      -1     531.36   -1073.89     998.86
    157      157      3      3      666.20      99.76     923.23     0.4840      43    -637.09    -218.64     515.62
    158      158      3      3      805.06     113.38     738.77     0.3820      39     755.33     384.78    -278.68
    159      159      4      4      679.12     127.55    1183.35     0.2620      41    -636.10      98.90   -1146.45
    160      160      3      3      951.61     161.61     549.36     0.2640      35    -905.45    -136.72     224.30
    161      161      3      3      752.32     186.53     825.56     0.1320      10    -597.79     379.73    -485.40
    162      162      3      3      742.85     146.22     154.17     0.0140      21     385.91    -608.69   -1364.46
    163      163      3      3     1146.43     310.58     254.72     0.8280      19   -1065.79    -753.09   -1788.33
    164      164      3      3     2366.84     928.31     459.68     0.0460      20    -937.32   -2115.48     834.67
    165      165      3      3      847.49     129.69     115.80     0.0060      12     265.92     906.32    -171.67
    166      166      3      3      193.02     168.37     707.78     0.5580      33    -232.04    -133.26    1090.84
    167      167      3      3      847.49     129.69     115.80     0.4780      12     289.64     703.53    -398.26
    168      168      5      5      446.32     250.96    1434.85     0.2640      45    -318.49     341.27   -1732.24
    169      169      0      0        0.00       0.00       0.00    -1.0000      -1   -1430.74    -594.14     -12.62
    170      170      3      3      432.77      80.09     412.06     0.2760      26     179.44     198.31    -423.34
    171      171      3      3     1124.20      81.09     965.41     0.4020      25   -1037.38     320.28    -160.70
    172      172      0      0        0.00       0.00       0.00    -1.0000      -1      61.93    -553.27     859.14
    173      173      4      4      679.12     127.55    1183.35     0.7740      41    -681.56     -34.29     601.03
    174      174      3      3      235.44      57.98    1440.28     0.4900      27     231.45     -79.32   -1440.71
    175      175      3      3      359.01     135.11     214.82     0.0340      28    -270.23    -262.47   -1006.63
    176      176      0      0        0.00       0.00       0.00    -1.0000      -1     -46.92     -27.85   -1855.21
    177      177      3      3      193.02     168.37     707.78     0.3380      33     -64.03     -76.32     -86.64
    178      178      5      5     2742.13     119.26     591.68     0.4580      32   -2566.78    -675.67   -1302.43
    179      179      3      3     1124.20      81.09     965.41     0.3040      25   -1176.37     330.91    -817.06
    180      180      4      4      679.12     127.55    1183.35     0.1720      41    -554.20     212.39   -1858.89
    181      181      3      3     1582.97     319.70     264.55     0.0980      37     898.69   -1432.22    -926.79
    182      182      3      3      666.20      99.76     923.23     0.7400      43    -534.07    -290.67    -840.92
    183      183      0      0        0.00       0.00       0.00    -1.0000      -1    -109.77     242.66      96.87
    184      184      3      3     1146.43     310.58     254.72     0.0800      19    -909.93    -702.56   -1307.64
    185      185      0      0        0.00       0.00       0.00    -1.0000      -1     342.30    -320.14    -599.32
    186      186      3      3     1582.97     319.70     264.55     0.8800      37     547.17   -1553.77   -1098.21
    187      187      3      3     3818.56     485.11     127.44     0.0280       7   -3952.71    -467.73   -1382.58
    188      188      3      3     3441.05     132.56     174.73     0.0460       5   -3317.82   -1081.55   -1112.25
    189      189      3      3      805.06     113.38     738.77     0.4080      39     720.05     351.15     532.48
    190      190      3      3      857.58     123.65     220.51     0.0200       1    -829.34     300.26   -1738.26
    191      191      3      3      432.77      80.09     412.06     0.5440      26     256.72     558.06    -681.29
    192      192      3      3     1146.43     310.58     254.72     0.0380      19    -756.57    -630.21   -1401.85
    193      193      3      3     2134.11     254.62     181.21     0.0440      31   -1941.57    -665.45     527.84
    194      194      3      3      937.99     128.40     508.24     0.1340      15     474.93     869.95    -503.22
    195      195      3      3     3009.16      11.68      37.15     0.0040       2   -2981.88    -390.98    -642.54
    196      196      3      3      857.58     123.65     220.51     0.0120       1    -805.24     336.91   -1942.17
    197      197      3      3     2974.37      15.81      95.24     0.0020       0   -2948.58    -465.83   -1196.71
    198      198      3      3     2974.37      15.81      95.24     0.0140       0   -2932.70    -447.07   -1382.28
    199      199      3      3     3009.16      11.68      37.15     0.0020       2   -2985.95    -399.44    -698.88
    200      200      3      3     2975.72     200.17     201.26     0.0000       8   -2970.02    -378.74    -598.28
    201      201      0      0        0.00       0.00       0.00    -1.0000      -1   -2960.76    -466.37   -1103.18
    202      202      0      0        0.00       0.00       0.00    -1.0000      -1    -668.42     287.03   -1640.98
    203      203      3      3     2975.72     200.17     201.26     0.0900       8   -2928.42    -390.56    -834.00
    204      204      0      0        0.00       0.00       0.00    -1.0000      -1   -2958.52    -460.21   -1153.23
    205      205      3      3     3078.25     145.64     272.61     0.0000       4   -2999.65    -564.96   -1550.49
    206      206      0      0        0.00       0.00       0.00    -1.0000      -1   -2993.65    -409.06    -750.84
    207      207      3      3     2974.37      15.81      95.24     0.0140       0   -2936.34    -455.02   -1326.66
    208      208      0      0        0.00       0.00       0.00    -1.0000      -1   -2970.13    -359.42    -640.53
    209      209      0      0        0.00       0.00       0.00    -1.0000      -1   -2992.04    -563.90   -1600.82
    210      210      3      3     3009.16      11.68      37.15     0.0040       2   -2982.03    -390.88    -628.76
