#  idx_gal   shID  Ngali  Ngalf    Rij(kpc)  size(kpc)  sigm(km/s)  Pmin(ds)    GrNr    x(kpc)    y(kpc)   V_LOS(km/s)
     55       55      0      0        0.00       0.00       0.00    -1.0000      -1    -304.26   -5016.35    -201.88
     56       56      3      3     1833.19      90.23     624.41     0.0400      17    -498.52    1526.88      25.79
     57       57      3      3     2593.07     107.65     318.05     0.1600      22   -2227.91   -2448.74    -201.61
     58       58      3      3     1882.85     501.76     303.72     0.5800      44   -1380.67    -791.35     451.22
     59       59      3      3      842.19      85.72     660.66     0.1800       8    -438.57    -753.02     192.86
     60       60      3      3      384.43     231.43     288.33     0.0400      33    -408.08     127.38    -246.79
     61       61      3      3     1484.29     198.54     459.02     0.4600      18    -349.85   -1352.78    -374.22
     62       62      3      3     2730.88     541.89     579.56     0.4400      37     673.71    2330.35     829.19
     63       63      3      3     1882.85     501.76     303.72     0.2400      44   -1882.40    -440.18    -145.20
     64       64      3      3     1649.29     506.49     928.73     0.0200      45    1307.70     146.90    -627.33
     65       65      3      3      890.61      78.82     463.20     0.3600      19     159.87    -850.23     308.70
     66       66      0      0        0.00       0.00       0.00    -1.0000      -1    -333.39   -1705.28     144.54
     67       67      0      0        0.00       0.00       0.00    -1.0000      -1   -1046.85    2563.00    -178.07
     68       68      0      0        0.00       0.00       0.00    -1.0000      -1    -394.78   -5852.62     838.18
     69       69      3      3      384.43     231.43     288.33     0.4000      33    -244.60     103.79     255.04
     70       70      0      0        0.00       0.00       0.00    -1.0000      -1    -426.05   -2152.87    -269.09
     71       71      5      5     1583.82      44.10     505.35     0.6800      24     796.46     953.36     348.65
     72       72      3      3     1649.29     506.49     928.73     0.0000      45    1814.13     598.64     983.58
     73       73      3      3      410.72     144.53     824.24     0.2400      41    -134.91    -458.05     215.52
     74       74      3      3      102.06     112.37     568.52     0.2000      42    -118.78     -29.89    -616.68
     75       75      5      5     1141.94     467.71     748.13     0.1400      15   -1365.27    -612.78     529.25
     76       76      3      3     2625.27      96.86     324.02     0.1400      43    -747.58   -2321.56      27.41
     77       77      3      3     1616.16      21.87     487.02     0.4400      16      98.20    1606.52     287.85
     78       78      3      3     1064.53      97.60      59.99     0.0000       3     252.92    1034.06   -1164.74
     79       79      3      3     1997.92     435.65     544.86     0.4800      32    -183.93   -1862.93    -747.35
     80       80      3      3      728.68     414.52     454.94     0.4000      25     -71.64     633.61     -90.73
     81       81      0      0        0.00       0.00       0.00    -1.0000      -1     491.12     175.53    1197.88
     82       82      5      5     1583.82      44.10     505.35     0.0000      24    1064.93    1153.16     110.21
     83       83      3      3     1941.87     478.99     582.73     0.0000      13    1065.22    1404.38     882.59
     84       84      3      3      285.24     230.59     640.47     0.0200      30     119.99     272.36   -1445.87
     85       85      3      3      700.53     147.00     411.85     0.1600      12     755.96      37.62    -148.30
     86       86      3      3     2730.88     541.89     579.56     0.0000      37    1192.68    2412.55     178.34
     87       87      3      3     1484.29     198.54     459.02     0.0200      18    -434.38   -1596.20     541.52
     88       88      3      3      390.83     140.11      37.53     0.0000      26    -270.94     284.36    -952.98
     89       89      3      3      102.06     112.37     568.52     0.2800      42     -75.79      -5.02     514.67
     90       90      3      3      742.43      57.99      39.88     0.0000       4     -73.59    -704.62     507.95
     91       91      0      0        0.00       0.00       0.00    -1.0000      -1    -641.50   -1382.67     210.25
     92       92      0      0        0.00       0.00       0.00    -1.0000      -1   -1162.79   -1065.19    -540.56
     93       93      0      0        0.00       0.00       0.00    -1.0000      -1    -106.54   -1542.84     -44.41
     94       94      3      3     2730.88     541.89     579.56     0.5200      37     650.85    3005.94    -326.88
     95       95      5      5      696.15     185.58     623.14     0.5200      31     160.79    -695.12    -496.00
     96       96      3      3      259.00     157.01    1045.91     0.0600      28     224.98      10.48    -484.12
     97       97      3      3      842.19      85.72     660.66     0.0400       8    -361.73    -732.90     472.53
     98       98      3      3     1616.16      21.87     487.02     0.5800      16      92.10    1591.80    -684.50
     99       99      3      3      728.68     414.52     454.94     0.4600      25    -485.72     615.75    -672.98
    100      100      0      0        0.00       0.00       0.00    -1.0000      -1    -999.19   -1993.47    -840.52
    101      101      3      3     3220.98      72.60     414.28     0.4000      39    -922.69   -3323.72     135.69
    102      102      0      0        0.00       0.00       0.00    -1.0000      -1     868.48    -897.04    -516.81
    103      103      0      0        0.00       0.00       0.00    -1.0000      -1    -896.45   -1919.83     739.22
    104      104      3      3     6140.44     116.52      32.40     0.0000      10    -762.87   -6095.38     950.62
    105      105      0      0        0.00       0.00       0.00    -1.0000      -1    -440.44   -2548.90     784.92
    106      106      0      0        0.00       0.00       0.00    -1.0000      -1    -252.74   -1834.63     112.76
    107      107      3      3     1604.62      75.09     226.20     0.0200      11     920.60    1305.70    1023.45
    108      108      0      0        0.00       0.00       0.00    -1.0000      -1     -20.55   -6058.26      75.41
    109      109      3      3     1903.13     110.93     152.50     0.2400      29    -842.47   -1803.79     427.45
    110      110      0      0        0.00       0.00       0.00    -1.0000      -1     -45.60     -92.79    1381.59
    111      111      0      0        0.00       0.00       0.00    -1.0000      -1   -1151.62    1157.53    1341.67
    112      112      0      0        0.00       0.00       0.00    -1.0000      -1     -68.88   -5551.37     144.66
    113      113      5      5     1141.94     467.71     748.13     0.3000      15   -1280.51    -179.27     713.84
    114      114      3      3     1616.16      21.87     487.02     0.3600      16     -62.48    1643.30    -247.93
    115      115      0      0        0.00       0.00       0.00    -1.0000      -1     705.85   -1536.49    -449.75
    116      116      3      3      930.26      74.42     464.97     0.2600      36      38.78    -875.56    -899.05
    117      117      3      3      410.72     144.53     824.24     0.3200      41    -179.32    -275.11    1555.88
    118      118      3      3     1941.87     478.99     582.73     0.5600      13    1542.93    1455.08    -119.60
    119      119      5      5     1141.94     467.71     748.13     0.8000      15    -826.01     127.14     680.42
    120      120      3      3     1007.63      57.42     185.66     0.1400       5     936.85      90.94    -506.87
    121      121      3      3     5795.12      84.04      11.80     0.0000       2    -324.35   -5774.84    1283.53
    122      122      0      0        0.00       0.00       0.00    -1.0000      -1     -48.18   -3340.67     374.24
    123      123      0      0        0.00       0.00       0.00    -1.0000      -1    -975.84   -1068.25    -172.02
    124      124      3      3      836.22     289.45     525.72     0.2400       7     388.49     674.50    -949.90
    125      125      3      3     2625.27      96.86     324.02     0.1600      43   -1003.66   -2494.99    -277.31
    126      126      3      3      285.24     230.59     640.47     0.3600      30       9.61     247.21    -554.85
    127      127      3      3      836.22     289.45     525.72     0.1800       7     279.66     820.39    -783.75
    128      128      3      3     5068.60     205.58     489.19     0.2200      23      43.55   -5304.86     112.78
    129      129      0      0        0.00       0.00       0.00    -1.0000      -1   -1361.53   -1421.58    1042.59
    130      130      3      3      410.72     144.53     824.24     0.1600      41     -35.38    -424.79      54.61
    131      131      3      3      711.71     114.42     497.02     0.2000      27     532.61     300.27     713.86
    132      132      3      3       31.28     133.17     835.31     0.2000      40      17.63      58.83   -1664.49
    133      133      0      0        0.00       0.00       0.00    -1.0000      -1    1223.01   -1510.94     575.70
    134      134      0      0        0.00       0.00       0.00    -1.0000      -1    -242.78    -187.05     915.97
    135      135      3      3      728.68     414.52     454.94     0.1000      25    -199.36     737.68    -987.37
    136      136      3      3     1026.22     111.23     193.27     0.1000       9     -80.66   -1036.93     384.52
    137      137      0      0        0.00       0.00       0.00    -1.0000      -1     672.03     774.94     269.36
    138      138      3      3     2593.07     107.65     318.05     0.8000      22   -1462.90   -1859.81    -182.71
    139      139      3      3     2593.07     107.65     318.05     0.8400      22   -1355.26   -1607.30    -742.79
    140      140      3      3      842.19      85.72     660.66     0.0000       8    -458.23    -701.44    1451.07
    141      141      0      0        0.00       0.00       0.00    -1.0000      -1     626.36     765.01   -1186.28
    142      142      0      0        0.00       0.00       0.00    -1.0000      -1     496.37    -173.73    -709.71
    143      143      3      3     2518.48      11.04     156.06     0.1400      21    1408.33    1959.08     425.32
    144      144      0      0        0.00       0.00       0.00    -1.0000      -1      24.41     133.29     458.09
    145      145      3      3     1026.22     111.23     193.27     0.1000       9    -108.75    -958.07     371.56
    146      146      3      3     1064.53      97.60      59.99     0.0000       3      79.56    1070.43   -1049.85
    147      147      3      3      532.56     109.58    1083.56     0.2000      34     323.81    -351.12    1768.21
    148      148      3      3     2518.48      11.04     156.06     0.0000      21    1398.49    2246.22     198.83
    149      149      0      0        0.00       0.00       0.00    -1.0000      -1   -1157.48     845.06     -16.26
    150      150      3      3       31.28     133.17     835.31     0.0600      40      23.92      21.88    -770.15
    151      151      0      0        0.00       0.00       0.00    -1.0000      -1    -541.00   -5808.02    -604.39
    152      152      0      0        0.00       0.00       0.00    -1.0000      -1    -739.08    -635.13     675.86
    153      153      0      0        0.00       0.00       0.00    -1.0000      -1    -320.88     -42.94     361.04
    154      154      3      3      890.61      78.82     463.20     0.2000      19     143.96    -963.73     240.69
    155      155      0      0        0.00       0.00       0.00    -1.0000      -1     453.65     654.36      72.94
    156      156      0      0        0.00       0.00       0.00    -1.0000      -1    -510.30     332.84     689.16
    157      157      3      3     1026.22     111.23     193.27     0.1200       9    -219.33   -1051.75      43.47
    158      158      3      3      711.71     114.42     497.02     0.3200      27     643.80     569.01     113.53
    159      159      3      3     1246.96     201.63     349.70     0.2400      20     129.73   -1317.09     241.33
    160      160      0      0        0.00       0.00       0.00    -1.0000      -1    -674.80    -350.22    1603.02
    161      161      3      3     1246.96     201.63     349.70     0.2000      20     375.47   -1335.42    -455.36
    162      162      3      3      390.83     140.11      37.53     0.0000      26    -253.65     263.61    -891.56
    163      163      3      3     1935.20      16.67     433.16     0.3200      38    -590.26   -1904.92    -345.99
    164      164      3      3     1882.85     501.76     303.72     0.1600      44   -1930.13    -886.53     252.71
    165      165      3      3     1007.63      57.42     185.66     0.1200       5     972.52    -211.98    -508.85
    166      166      5      5      696.15     185.58     623.14     0.3400      31     -10.68    -636.38    -286.12
    167      167      3      3      700.53     147.00     411.85     0.1200      12     744.03      15.84    -775.45
    168      168      3      3      532.56     109.58    1083.56     0.3800      34     216.27    -510.49     262.47
    169      169      3      3     1903.13     110.93     152.50     0.0600      29    -889.59   -1614.58     328.79
    170      170      3      3      259.00     157.01    1045.91     0.1000      28     255.21      80.72    -107.91
    171      171      3      3     1997.92     435.65     544.86     0.4200      32     228.07   -1913.23    -476.71
    172      172      0      0        0.00       0.00       0.00    -1.0000      -1    -232.20    -294.61    -545.75
    173      173      0      0        0.00       0.00       0.00    -1.0000      -1    -554.10     -38.21   -1220.26
    174      174      0      0        0.00       0.00       0.00    -1.0000      -1     -19.51     340.28    1239.29
    175      175      3      3      384.43     231.43     288.33     0.4400      33    -450.33      94.26     250.15
    176      176      0      0        0.00       0.00       0.00    -1.0000      -1      92.14    -349.84     720.56
    177      177      3      3      102.06     112.37     568.52     0.3600      42     -73.86     -78.42    -149.50
    178      178      3      3     5769.72      13.75     140.02     0.0600      14     -93.85   -5723.96     146.94
    179      179      3      3     1997.92     435.65     544.86     0.3400      32     240.08   -2181.83     302.12
    180      180      3      3      890.61      78.82     463.20     0.4800      19      69.55    -829.37    -525.43
    181      181      3      3      930.26      74.42     464.97     0.0800      36      75.02    -961.68    -323.04
    182      182      0      0        0.00       0.00       0.00    -1.0000      -1    -322.04    -744.41      24.99
    183      183      3      3      532.56     109.58    1083.56     0.2400      34     297.76    -480.90    -334.43
    184      184      3      3     2154.31     187.36     132.72     0.3800       6    -333.77   -2125.04    -589.78
    185      185      3      3      130.67     162.99     609.95     0.3400      46      95.64    -135.18     177.62
    186      186      0      0        0.00       0.00       0.00    -1.0000      -1    -228.11   -1119.45    -208.01
    187      187      0      0        0.00       0.00       0.00    -1.0000      -1    -491.58   -7022.20    -250.00
    188      188      3      3     6140.44     116.52      32.40     0.0000      10    -843.62   -6074.47     910.49
    189      189      0      0        0.00       0.00       0.00    -1.0000      -1     690.30     337.22   -2131.37
    190      190      3      3      742.43      57.99      39.88     0.0200       4    -118.36    -753.33     430.25
    191      191      3      3      700.53     147.00     411.85     0.0400      12     599.00      42.28    -924.34
    192      192      3      3     2154.31     187.36     132.72     0.0200       6    -146.59   -2150.94    -775.15
    193      193      3      3     2625.27      96.86     324.02     0.1200      43    -934.68   -2583.68    -620.25
    194      194      3      3     1007.63      57.42     185.66     0.0800       5    1078.31    -131.46    -829.43
    195      195      0      0        0.00       0.00       0.00    -1.0000      -1    -170.61   -5829.25    -432.38
    196      196      0      0        0.00       0.00       0.00    -1.0000      -1     -24.90    -863.09    -184.83
    197      197      0      0        0.00       0.00       0.00    -1.0000      -1    -198.52   -5830.85    -564.81
    198      198      3      3     5804.65     206.37      88.49     0.0000       0    -187.20   -5795.40    -146.74
    199      199      3      3     5849.08      23.22     138.92     0.0000       1    -176.78   -5837.04    -509.28
    200      200      0      0        0.00       0.00       0.00    -1.0000      -1    -163.11   -5803.61    -221.71
    201      201      3      3     5849.08      23.22     138.92     0.0000       1    -199.91   -5851.24    -774.56
    202      202      5      5      696.15     185.58     623.14     0.2200      31      -1.28    -748.94      13.31
    203      203      3      3     5769.72      13.75     140.02     0.1000      14    -155.87   -5763.29     176.47
    204      204      0      0        0.00       0.00       0.00    -1.0000      -1    -198.39   -5840.03    -609.71
    205      205      3      3     5795.12      84.04      11.80     0.0000       2    -326.94   -5797.27    1261.07
    206      206      3      3     5849.08      23.22     138.92     0.0600       1    -184.48   -5849.97    -570.41
    207      207      3      3     5804.65     206.37      88.49     0.0200       0    -191.49   -5805.85    -315.71
    208      208      3      3     5769.72      13.75     140.02     0.0800      14    -143.06   -5817.28     -79.46
    209      209      3      3     5795.12      84.04      11.80     0.0000       2    -324.99   -5785.83    1278.58
    210      210      0      0        0.00       0.00       0.00    -1.0000      -1    -170.44   -5829.76    -454.84
