#  idx_gal   shID  Ngali  Ngalf    Rij(kpc)  size(kpc)  sigm(km/s)  Pmin(ds)    GrNr    x(kpc)    y(kpc)   V_LOS(km/s)
      0        0      3      3       31.28     133.17     835.31     0.2200      40       0.00       0.00       4.71
      1        1      3      3     5804.65     206.37      88.49     0.0200       0    -179.19   -5803.75    -185.66
      2        2      5      5      696.15     185.58     623.14     0.1400      31      23.16    -744.89    -156.14
      3        3      3      3      930.26      74.42     464.97     0.3200      36      48.65    -948.51      21.20
      4        4      3      3     1935.20      16.67     433.16     0.0800      38    -432.40   -1717.33     421.55
      5        5      0      0        0.00       0.00       0.00    -1.0000      -1    -516.39   -7009.11    -356.03
      6        6      3      3     2154.31     187.36     132.72     0.0000       6    -133.94   -2151.74    -847.00
      7        7      3      3     3386.48     445.32     854.48     0.5200      47     943.55   -2802.98    -480.38
      8        8      5      5     1141.94     467.71     748.13     0.2000      15    -960.40    -623.82     411.63
      9        9      0      0        0.00       0.00       0.00    -1.0000      -1    1640.77    2104.86      10.44
     10       10      3      3     1604.62      75.09     226.20     0.0600      11     960.00    1322.63    1026.70
     11       11      0      0        0.00       0.00       0.00    -1.0000      -1     -53.37    -859.92     496.10
     12       12      0      0        0.00       0.00       0.00    -1.0000      -1    2156.35     535.75     928.99
     13       13      3      3      259.00     157.01    1045.91     0.1200      28     256.94     121.22   -2078.05
     14       14      3      3      836.22     289.45     525.72     0.1000       7     120.76     855.06      32.31
     15       15      3      3     1935.20      16.67     433.16     0.3000      38    -444.93   -1991.30     385.69
     16       16      3      3     6140.44     116.52      32.40     0.0000      10    -780.68   -6095.83     886.50
     17       17      5      5     1583.82      44.10     505.35     0.1000      24    1574.02     698.66     404.68
     18       18      3      3     2518.48      11.04     156.06     0.0600      21    1335.62    2109.40     126.10
     19       19      0      0        0.00       0.00       0.00    -1.0000      -1     -54.14    -157.36   -1149.49
     20       20      3      3     1833.19      90.23     624.41     0.0200      17    -646.05    1935.20    -954.33
     21       21      5      5     1583.82      44.10     505.35     0.3200      24    1274.19     815.47     414.71
     22       22      3      3      390.83     140.11      37.53     0.0000      26    -248.18     331.22    -959.61
     23       23      3      3     1903.13     110.93     152.50     0.1000      29    -772.40   -1708.66     128.18
     24       24      3      3      130.67     162.99     609.95     0.2800      46      53.19    -120.79    -636.30
     25       25      3      3     3220.98      72.60     414.28     0.1200      39    -928.69   -2621.33    -690.32
     26       26      3      3     5068.60     205.58     489.19     0.3000      23    -134.94   -5042.52     899.90
     27       27      3      3     5068.60     205.58     489.19     0.4200      23     634.41   -4814.81       3.09
     28       28      0      0        0.00       0.00       0.00    -1.0000      -1    -270.78   -5621.98    -291.76
     29       29      3      3     3386.48     445.32     854.48     0.3200      47    1388.33   -3718.06   -1155.39
     30       30      5      5      696.15     185.58     623.14     0.4200      31      87.89    -630.52    1098.55
     31       31      3      3     2928.01     396.68     347.51     0.2200      35    2164.67    2376.37     694.39
     32       32      3      3     1484.29     198.54     459.02     0.0600      18    -243.62   -1379.99      27.47
     33       33      0      0        0.00       0.00       0.00    -1.0000      -1     732.64    1609.10     664.44
     34       34      3      3     1604.62      75.09     226.20     0.0000      11     938.18    1273.72     633.29
     35       35      5      5     1141.94     467.71     748.13     0.0600      15    -899.27    -271.23   -1066.95
     36       36      3      3     2928.01     396.68     347.51     0.2000      35    2837.52    1672.39     219.84
     37       37      3      3     1649.29     506.49     928.73     0.1600      45    1721.48      20.44     978.97
     38       38      3      3     1941.87     478.99     582.73     0.1200      13    1262.44    1475.85     896.68
     39       39      3      3     2928.01     396.68     347.51     0.3400      35    1768.08    1432.97      17.37
     40       40      0      0        0.00       0.00       0.00    -1.0000      -1    -272.75   -5717.66     -57.21
     41       41      3      3      711.71     114.42     497.02     0.4200      27     496.18     441.98    -272.45
     42       42      5      5     1583.82      44.10     505.35     0.3800      24    1610.35     955.06    -776.19
     43       43      3      3      742.43      57.99      39.88     0.1800       4     -39.62    -755.22     484.71
     44       44      0      0        0.00       0.00       0.00    -1.0000      -1     -12.03     160.67     672.24
     45       45      3      3      130.67     162.99     609.95     0.5200      46      12.18     -93.65   -1016.28
     46       46      3      3      285.24     230.59     640.47     0.0000      30     225.88     213.35    -203.37
     47       47      3      3     1833.19      90.23     624.41     0.0800      17    -559.96    1766.56   -1134.49
     48       48      3      3     3220.98      72.60     414.28     0.4000      39    -859.83   -3323.12    -333.54
     49       49      0      0        0.00       0.00       0.00    -1.0000      -1     -29.38     -80.58     524.83
     50       50      3      3     1064.53      97.60      59.99     0.0000       3      97.14    1051.19   -1077.37
     51       51      3      3     1246.96     201.63     349.70     0.1600      20     206.49   -1009.29     -53.70
     52       52      0      0        0.00       0.00       0.00    -1.0000      -1     530.34     -17.87   -1067.44
     53       53      0      0        0.00       0.00       0.00    -1.0000      -1     494.11   -1563.32    -166.11
     54       54      3      3     3386.48     445.32     854.48     0.3200      47     935.51   -3094.77     541.79
